Price_Total,Area,Price_Meter,Rooms,Floor_Live,Floor_Total,Zone,Neighborhood,Distance,Time
1929750000,459.4,4200588,5,7,8,ЦАО,Якиманка,0.0,7.0
1884800000,417.3,4516655,4,13,14,ЦАО,Якиманка,0.0,7.0
1777100000,679.6,2614921,5,1,3,ЦАО,Тверской район,0.0,3.0
1753570000,352.4,4976078,5,13,14,ЦАО,Якиманка,0.0,7.0
1649510000,659.4,2501532,5,1,3,ЦАО,Якиманка,0.0,7.0
1598855202,319.9,4997984,4,6,6,ЦАО,Тверской район,0.0,5.0
1490280000,657.5,2266586,5,1,3,ЦАО,Тверской район,0.0,3.0
1435410000,365.0,3932630,5,7,8,ЦАО,Якиманка,0.0,7.0
1248180000,473.8,2634403,2,1,3,ЦАО,Якиманка,0.0,7.0
1224130152,244.9,4998082,3,6,6,ЦАО,Тверской район,0.0,5.0
1189850000,515.1,2309940,4,1,3,ЦАО,Якиманка,0.0,7.0
1187500000,392.2,3027792,5,6,6,ЦАО,Басманный район,0.0,8.0
1156290000,375.8,3076876,5,6,6,ЦАО,Басманный район,0.0,8.0
1155020000,271.2,4258923,5,13,14,ЦАО,Якиманка,0.0,7.0
1076410000,222.1,4846511,4,13,14,ЦАО,Якиманка,0.0,7.0
1048650000,429.9,2439288,4,1,3,ЦАО,Якиманка,0.0,7.0
1038510000,456.7,2273944,4,1,3,ЦАО,Якиманка,0.0,7.0
1009280000,283.3,3562584,4,5,5,ЦАО,Тверской район,0.0,3.0
966125475,340.8,2834958,5,4,6,ЦАО,Тверской район,0.0,5.0
913120000,467.2,1954452,5,1,2,ЦАО,Хамовники,0.0,6.0
913120000,467.2,1954452,4,1,6,ЦАО,Хамовники,0.0,6.0
903406350,460.1,1963500,4,21,21,ЦАО,Пресненский район,4.2,7.0
903406350,460.1,1963500,4,21,21,ЦАО,Пресненский район,4.3,9.0
896790000,496.7,1805496,6,1,2,ЦАО,Хамовники,0.0,6.0
896790000,496.7,1805496,3,1,6,ЦАО,Хамовники,0.0,6.0
879430000,229.6,3830771,3,5,5,ЦАО,Тверской район,0.0,3.0
791675000,316.7,2500000,6,9,9,ЦАО,Якиманка,0.0,5.0
778110000,257.1,3026488,5,10,14,ЦАО,Якиманка,0.0,7.0
770550000,198.4,3883821,4,14,14,ЦАО,Якиманка,0.0,7.0
742670000,250.3,2967119,5,6,8,ЦАО,Якиманка,0.0,7.0
736930000,280.6,2626265,4,6,6,ЦАО,Басманный район,0.0,8.0
724251000,387.3,1870000,5,21,21,ЦАО,Пресненский район,4.2,7.0
724251000,387.3,1870000,5,21,21,ЦАО,Пресненский район,4.3,9.0
724070000,223.3,3242298,1,5,5,ЦАО,Тверской район,0.0,3.0
721260000,227.4,3171768,5,12,14,ЦАО,Якиманка,0.0,7.0
716760000,434.4,1650000,6,21,21,ЦАО,Пресненский район,4.3,9.0
716760000,434.4,1650000,6,21,21,ЦАО,Пресненский район,4.3,9.0
691910000,163.5,4231865,3,8,8,ЦАО,Якиманка,0.0,7.0
664740000,250.5,2653653,5,5,8,ЦАО,Якиманка,0.0,7.0
663170000,242.9,2730218,3,6,6,ЦАО,Басманный район,0.0,8.0
659370000,158.3,4165319,2,14,14,ЦАО,Якиманка,0.0,7.0
651960000,201.3,3238748,4,12,14,ЦАО,Якиманка,0.0,7.0
651040000,212.0,3071233,3,5,5,ЦАО,Тверской район,0.0,3.0
642970000,211.5,3040047,4,7,8,ЦАО,Якиманка,0.0,7.0
633550000,197.8,3202983,4,12,14,ЦАО,Якиманка,0.0,7.0
627420000,313.7,2000000,6,8,9,ЦАО,Якиманка,0.0,5.0
616150000,283.0,2177208,5,5,6,ЦАО,Басманный район,0.0,8.0
613220000,208.8,2936877,4,9,14,ЦАО,Якиманка,0.0,7.0
599445000,363.3,1650000,4,21,21,ЦАО,Пресненский район,4.3,8.0
599445000,363.3,1650000,4,21,21,ЦАО,Пресненский район,4.3,9.0
588870000,199.7,2948773,4,11,14,ЦАО,Якиманка,0.0,7.0
586070000,232.4,2521490,4,4,6,ЦАО,Хамовники,0.0,6.0
586070000,232.4,2521490,4,4,6,ЦАО,Хамовники,0.0,6.0
585980000,204.7,2862628,4,6,8,ЦАО,Якиманка,0.0,7.0
585196200,216.0,2709242,5,6,6,ЦАО,Тверской район,0.0,5.0
579120000,206.8,2800387,4,8,14,ЦАО,Якиманка,0.0,7.0
577230000,197.9,2916776,4,10,14,ЦАО,Якиманка,0.0,7.0
576298470,262.8,2192917,6,2,6,ЦАО,Тверской район,0.0,5.0
